figure_name,expected_slide,expected_source_notebook,found,source_path,copied_to,action_required
raw_to_hourly_reduction.png,Level 1 framing,01_data_understanding.ipynb,yes,reports\figures\raw_to_hourly_reduction.png,reports\figures_presentation\raw_to_hourly_reduction.png,
target_distribution.png,Appendix C,01_data_understanding.ipynb,yes,reports\figures\target_distribution.png,reports\figures_presentation\target_distribution.png,
target_temporal.png,Appendix C,01_data_understanding.ipynb,yes,reports\figures\target_temporal.png,reports\figures_presentation\target_temporal.png,
correlation_matrix.png,Appendix optional,01_data_understanding.ipynb,yes,reports\figures\correlation_matrix.png,reports\figures_presentation\correlation_matrix.png,
real_vs_predicted_test.png,Performance operacional,02_feature_engineering_modeling.ipynb,yes,reports\figures\real_vs_predicted_test.png,reports\figures_presentation\real_vs_predicted_test.png,
real_vs_predicted_val.png,Validation appendix,02_feature_engineering_modeling.ipynb,yes,reports\figures\real_vs_predicted_val.png,reports\figures_presentation\real_vs_predicted_val.png,
temporal_residuals.png,Performance operacional,02_feature_engineering_modeling.ipynb,yes,reports\figures\temporal_residuals.png,reports\figures_presentation\temporal_residuals.png,
residuals_distribution.png,Appendix D,02_feature_engineering_modeling.ipynb,yes,reports\figures\residuals_distribution.png,reports\figures_presentation\residuals_distribution.png,
mae_by_month.png,Appendix D,02_feature_engineering_modeling.ipynb,yes,reports\figures\mae_by_month.png,reports\figures_presentation\mae_by_month.png,
main_vs_fallback_simulation.png,Appendix optional,02_feature_engineering_modeling.ipynb,yes,reports\figures\main_vs_fallback_simulation.png,reports\figures_presentation\main_vs_fallback_simulation.png,
high_frequency_aggregation_r2_comparison.png,Benchmark comparison,02b_high_frequency_sensor_aggregation.ipynb,yes,reports\figures\high_frequency_aggregation_r2_comparison.png,reports\figures_presentation\high_frequency_aggregation_r2_comparison.png,
high_frequency_aggregation_mae_comparison.png,Appendix optional,02b_high_frequency_sensor_aggregation.ipynb,yes,reports\figures\high_frequency_aggregation_mae_comparison.png,reports\figures_presentation\high_frequency_aggregation_mae_comparison.png,
sensor_only_aggregated_feature_importance.png,Appendix B,02b_high_frequency_sensor_aggregation.ipynb,yes,reports\figures\sensor_only_aggregated_feature_importance.png,reports\figures_presentation\sensor_only_aggregated_feature_importance.png,
shap_bar.png,Explainability global,03_explainability.ipynb,yes,reports\figures\shap_bar.png,reports\figures_presentation\shap_bar.png,
shap_summary.png,Appendix E,03_explainability.ipynb,yes,reports\figures\shap_summary.png,reports\figures_presentation\shap_summary.png,
shap_waterfall_0_representative_case.png,Explainability local,03_explainability.ipynb,yes,reports\figures\shap_waterfall_0_representative_case.png,reports\figures_presentation\shap_waterfall_0_representative_case.png,
shap_waterfall_0_high_error_case.png,Appendix E,03_explainability.ipynb,yes,reports\figures\shap_waterfall_0_high_error_case.png,reports\figures_presentation\shap_waterfall_0_high_error_case.png,
shap_waterfall_0_low_error_case.png,Appendix E,03_explainability.ipynb,yes,reports\figures\shap_waterfall_0_low_error_case.png,reports\figures_presentation\shap_waterfall_0_low_error_case.png,
pdp_silica_concentrate_lag_1.png,Appendix F,03_explainability.ipynb,yes,reports\figures\pdp_silica_concentrate_lag_1.png,reports\figures_presentation\pdp_silica_concentrate_lag_1.png,
pdp_ore_pulp_ph.png,Appendix F,03_explainability.ipynb,yes,reports\figures\pdp_ore_pulp_ph.png,reports\figures_presentation\pdp_ore_pulp_ph.png,
pdp_ore_pulp_ph_lag_1.png,Appendix optional,03_explainability.ipynb,yes,reports\figures\pdp_ore_pulp_ph_lag_1.png,reports\figures_presentation\pdp_ore_pulp_ph_lag_1.png,
pdp_silica_concentrate_lag_3.png,Appendix optional,03_explainability.ipynb,yes,reports\figures\pdp_silica_concentrate_lag_3.png,reports\figures_presentation\pdp_silica_concentrate_lag_3.png,
lab_delay_availability_r2.png,Lab delay sensitivity,04_simulation_what_if.ipynb,yes,reports\figures\lab_delay_availability_r2.png,reports\figures_presentation\lab_delay_availability_r2.png,
scenario_impact_heatmap.png,Scenario analysis,04_simulation_what_if.ipynb,yes,reports\figures\scenario_impact_heatmap.png,reports\figures_presentation\scenario_impact_heatmap.png,
scenario_delta_bar_by_case.png,Appendix optional,04_simulation_what_if.ipynb,yes,reports\figures\scenario_delta_bar_by_case.png,reports\figures_presentation\scenario_delta_bar_by_case.png,
tornado_sensitivity_median_case.png,Scenario fallback,04_simulation_what_if.ipynb,yes,reports\figures\tornado_sensitivity_median_case.png,reports\figures_presentation\tornado_sensitivity_median_case.png,
mlflow_ui_runs.png,MLOps evidence,06_mlops_experiment_management.ipynb,yes,reports\figures\mlflow_ui_runs.png,reports\figures_presentation\mlflow_ui_runs.png,
