base_case_id,scenario_name,modified_features,base_prediction,scenario_prediction,delta_prediction,delta_prediction_pct,actual_value,absolute_error_base,scenario_type,interpretation,within_training_range,range_warning
median_quality_case,Amina Flow +5%,"[{""feature"": ""Amina Flow"", ""old_value"": 365.7194, ""new_value"": 384.0054, ""change"": ""+5.0%"", ""mode"": ""pct""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,manual_operational,"Under the learned model behavior, Amina Flow +5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,Amina Flow -5%,"[{""feature"": ""Amina Flow"", ""old_value"": 365.7194, ""new_value"": 347.4334, ""change"": ""-5.0%"", ""mode"": ""pct""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,manual_operational,"Under the learned model behavior, Amina Flow -5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,Starch Flow -5%,"[{""feature"": ""Starch Flow"", ""old_value"": 2565.1385, ""new_value"": 2436.8815, ""change"": ""-5.0%"", ""mode"": ""pct""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,manual_operational,"Under the learned model behavior, Starch Flow -5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,Starch Flow +5%,"[{""feature"": ""Starch Flow"", ""old_value"": 2565.1385, ""new_value"": 2693.3954, ""change"": ""+5.0%"", ""mode"": ""pct""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,manual_operational,"Under the learned model behavior, Starch Flow +5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,Ore Pulp pH +0.2,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1589, ""new_value"": 9.3589, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,manual_operational,"Under the learned model behavior, Ore Pulp pH +0.2 is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,Ore Pulp pH -0.2,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1589, ""new_value"": 8.9589, ""change"": ""-0.200"", ""mode"": ""abs_delta""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,manual_operational,"Under the learned model behavior, Ore Pulp pH -0.2 is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,recent lab silica trend +0.2 pp,"[{""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 2.34, ""new_value"": 2.54, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 4.18, ""new_value"": 4.38, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",2.2164,2.2442,0.0278,1.26,3.07,0.8536,lab_trend_feature,"Under the learned model behavior, recent lab silica trend +0.2 pp is associated with a recent-lab-pattern stress test where the model predicts higher silica by 0.0278. This is not a causal or operational recommendation.",True,
median_quality_case,recent lab silica trend -0.2 pp,"[{""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 2.34, ""new_value"": 2.14, ""change"": ""-0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 4.18, ""new_value"": 3.98, ""change"": ""-0.200"", ""mode"": ""abs_delta""}]",2.2164,2.1574,-0.059,-2.66,3.07,0.8536,lab_trend_feature,"Under the learned model behavior, recent lab silica trend -0.2 pp is associated with a recent-lab-pattern stress test where the model predicts lower silica by 0.0590. This is not a causal or operational recommendation.",True,
median_quality_case,Lower predicted silica package,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1589, ""new_value"": 9.3589, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 365.7194, ""new_value"": 384.0054, ""change"": ""+5.0%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 2565.1385, ""new_value"": 2693.3954, ""change"": ""+5.0%"", ""mode"": ""pct""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,combined_package,"Under the learned model behavior, Lower predicted silica package is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,Higher predicted silica stress test,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1589, ""new_value"": 8.9589, ""change"": ""-0.200"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 365.7194, ""new_value"": 347.4334, ""change"": ""-5.0%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 2565.1385, ""new_value"": 2436.8815, ""change"": ""-5.0%"", ""mode"": ""pct""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,combined_package,"Under the learned model behavior, Higher predicted silica stress test is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
