feature,mean_abs_shap,feature_type,available_in_main_model,available_in_fallback_model
% Silica Concentrate_lag_1,0.6147770652960746,lab_trend_feature,True,False
% Silica Concentrate_lag_3,0.113101426432507,lab_trend_feature,True,False
month,0.0321378018758373,time/calendar feature,True,True
Ore Pulp pH,0.0057961945378914,operational_lever,True,True
Ore Pulp pH_lag_1,0.0054563790998297,non_actionable feature,True,True
Flotation Column 03 Air Flow_roll_mean_12,0.0053218706909867,non_actionable feature,True,True
Ore Pulp pH_lag_3,0.0050974855895128,non_actionable feature,True,True
Ore Pulp pH_roll_mean_3,0.005051497900933,non_actionable feature,True,True
Ore Pulp pH_roll_mean_6,0.0047440847685739,non_actionable feature,True,True
Ore Pulp Density_lag_1,0.0047010535090432,non_actionable feature,True,True
